Data_name,Data_name_kr,Acronym,Data_type,Data_category,Source_organization,Access_method,Portal_or_system_url,Spatial_coverage,Spatial_resolution,Temporal_coverage,Temporal_resolution,Data_volume_or_scale,Collection_method,Instruments_or_tools,Data_format,Parameters_measured,Usage_in_study,Data_availability,Notes,Source
Mandaei District Disaster Prevention Weather Observation,만대지구 해안관측소 기상자료,Not in source,meteorological,rainfall,기상청,public_portal,기상청,양구군 해안면 (해안관측소),지점 측정,2013–2022,daily,10년간 일강수량 자료,automatic sensor,방재기상관측장비 (AWS),csv,"일강수량, 연강수량, 강수일수",만대지구의 기상 현황 분석 및 SWAT 모델의 입력 자료로 활용,open,2022년 일강수량 상세 현황 포함,26
KOSIS Crop Cultivation Statistics,국가통계포털 재배작물 면적 현황,KOSIS,administrative,ecology,통계청,public_portal,KOSIS,양구군 해안면,읍면동 단위,2019,one-time,작물별 재배면적 (ha),survey,Not in source,보고서 수록 표,"논벼, 콩, 감자, 사과 등 작물별 면적",만대지구 내 주요 재배 작물 특성 파악,open,감자(30.35%)가 가장 넓은 면적 차지,26
SWAT Model Output,SWAT 모델 모의 결과,SWAT,model_output,sediment,한국수자원공사,model_generated,Not in source,만대지구 46개 소유역,HRU 기반,2017–2022,daily/yearly,소유역별 토양유실량 데이터,model simulation,"SWAT, MUSI",DBF/Output file,"유량, 토양유실량, SS 부하량",소유역별 토양유실 등급 지도 제작 및 완충식생대 조성 시나리오 효과 분석,internal_only,국내 고랭지 밭 특성을 반영한 MUSI 계수 적용,26
KMA Meteorological Data,기상청 기상 관측 자료,KMA data,meteorological,rainfall,기상청,public_portal,기상청 공공데이터 포털 (inferred),전국 (수계별 소유역),point measurement,2010–2023,10-min,Not in source,automatic sensor,Rain gauge,digital,강우량 (mm),Thiessen 방법을 적용하여 소유역별 평균 강우량 산정 및 유출 분석에 활용,open,방류 이벤트 중 강우 영향 여부를 판단하는 기준으로 활용됨,2
Water Management Information System,국가수자원관리종합정보시스템,WAMIS,DB_system,streamflow,환경부 (한강홍수통제소),public_portal,http://www.wamis.go.kr,"전국 (영산강, 섬진강 등)",Hydrological station,2006~2020,Daily,전국 하천유지유량 고시지점 114개소 데이터,automatic sensor,Not in source,CSV/Excel (link),"하천유지유량, 달성률, 수질, 생태, 경관 필요유량",영산강 및 섬진강 유역의 하천유지유량 달성도 분석 및 수생태계 건강성 지표 산출,open,하천유지유량 고시 및 달성률 분석의 핵심 소스,4
Vibration Field Measurement Data,현장 실증 시험 측정 데이터,Field_test_data,field_measurement,Vibration and pressure pulsation,"K-water & Infaith Co., Ltd.",field_collection,Not in source,7 K-water hydroelectric plants,Measurement at Turbine guide and Generator bearings,2022.07.29 – 2023.11.15,"Event-based (Load step 10%, Water level conditions)",At least 2 water level conditions per plant,Manual sensor installation and high-speed data acquisition,"Multi-channel real-time vibration recorder, ISO18436 certified equipment","Raw data files, Time waveform, Spectrum (FFT)","Shaft vibration, Frame vibration, Pressure pulsation frequency, Air supply effect",Primary data used to verify the fluid-excited vibration mechanism and determine critical flow rates.,internal_only,Collected specifically for this research project.,5
International Standard ISO 20816-5,국제 표준 규격 ISO 20816-5,ISO 20816-5,administrative,Standard criteria,International Organization for Standardization (ISO),literature_cited,https://www.iso.org,Global standard,Statistical threshold,Published 2018-07,Static standard,"Analysis of 7,000+ global machine datasets",Statistical curve fitting (Burr distribution),Not in source,Document (PDF/Paper),"Action Limits (Zone A-B, C, D), Measurement frequency range (Fmin, Fmax)",Used as the benchmark for evaluating machine health and defining 'high vibration' thresholds.,purchased,Replaces ISO 7919-5 and ISO 10816-5.,5
Hydro Power Plant Specifications,대상 발전소별 상세 제원,Plant_Spec,literature,Equipment metadata,K-water,internal_DB,K-water internal records,"Soyanggang, Chungju, Hapcheon, Imha, Daecheong, Yongdam, Juam",Plant-specific,1973 – 2001 (Construction years),One-time,"7 plants, multiple units per plant",Review of technical manuals and drawings,Not in source,Tabular,"Rated head, Rated power, RPM, Number of guide vanes/runner blades, Servomotor stroke","Used to calculate dimensionless numbers (St, S, nED, QED) and group machines by ISO standards.",internal_only,Critical for mechanism analysis using specific velocity.,5
Hydro Power Francis Turbine Hill Chart,수차 특성 곡선 (힐 차트),Hill_Chart,literature,Hydraulic performance,Original equipment manufacturers (OEM),internal_DB,Plant design documents,Runner-scale performance,Operational points,Varies by plant commissioning,Design static,7 performance maps,Model testing and scaling (Affinity laws),Not in source,Graphical/Image,"Efficiency, Discharge coefficient, Speed coefficient",Used to identify the Best Efficiency Point (BEP) and compare measured vibration values against flow ratios.,internal_only,"Proprietary design data from manufacturers like TOSHIBA, FUJI.",5
Water Statistics,상수도통계,Not in source,administrative,"상수도 보급현황, 시설물 현황, 요금, 재정",환경부 (Ministry of Environment),public_portal,"국가상수도정보시스템, 국가통계포털(KOSIS)",national,municipal-scale (162개 수도사업자),1975–2021,annual,"약 800~1,900개 항목",administrative_reporting,국가상수도정보시스템,"Excel, PDF","인구현황, 시설현황, 수량관리, 물손실관리, 경영성, 직원현황 등",상수도통계의 정확성 및 신뢰성 진단과 활용성 강화 방안 도출을 위한 기초 자료로 사용,open,통계법 제17조에 따른 지정통계 (승인번호 196006),27
National Groundwater Monitoring Network,국가지하수관측망 자료,GWL,hydrological,groundwater level,환경부 (국가지하수정보센터),public_portal,국가지하수정보센터,전국 (412개 관측소),point measurement,2000–2017,daily,최종 선정된 30개 관측소 자료 활용,automatic sensor,자동수위관측장비,Not in source,지하수위,"하천-지하수위 융합형 가뭄지수 개발, HMM 기법을 적용한 가뭄 범주화 및 LSTM 예측 모형 구축",open,충적대수층 관측정 자료를 우선적으로 선택하여 분석에 활용,6
Sentinel-2 Satellite Imagery,Sentinel-2 위성영상,Sentinel-2,remote_sensing,"GIS, land cover, water quality",ESA (European Space Agency),public_portal,ESA SciHub,"낙동강 수계, 대청댐 등","10m, 20m, 60m",2018–2020,5 days,Not in source,satellite,MSI (Multi-Spectral Instrument),"Level-1C, Level-2A (SAFE)",Spectral reflectance (밴드별 반사도),"AI 기반 수질 인자(Chl-a, SS) 예측, 하천 수변환경 분류 및 나지 면적 변화 탐지",open,Fmask 4.0 및 Sen2Cor를 이용한 전처리 및 구름 마스킹 수행,7
Sentinel-1 SAR Data,Sentinel-1 SAR 데이터,Sentinel-1,remote_sensing,water level,ESA (European Space Agency),public_portal,ESA SciHub,"대청댐, 북한댐 지역",10m (IW 모드),2019–2020,6-12 days,Not in source,satellite,C-band SAR,GRD,Backscatter coefficient (후방산란계수),미계측 지역(북한댐) 수위 추정 알고리즘 개발 및 수체 경계 추출,open,전천후 관측이 가능하나 전처리 과정이 광학 위성에 비해 복잡함,7
ESA CCI Soil Moisture,ESA CCI 토양수분 자료,ESA CCI SM,remote_sensing,soil moisture,ESA (European Space Agency),public_portal,ESA CCI 데이터 포털,용담댐 유역,0.25° grid,2007–2016,daily,Not in source,satellite,Active/Passive combined microwave,NetCDF (Inferred),Volumetric soil moisture,Machine Learning(LSSVM) 기술을 활용한 Hybrid 강우-유출 모형 개발의 입력 자료,open,다양한 위성 센서 데이터를 결합하여 전 지구적 시계열 자료 제공,7
ERA-Interim Soil Moisture,ERA-Interim 토양수분 데이터,ERA-Interim,hydrological,soil moisture,ECMWF,public_portal,ECMWF 데이터 포털,남한 전역 (55개 지점 추출),0.75° grid,1987–2016 (30년간),monthly,Not in source,model_output,Data Assimilation System,GRIB/NetCDF (Inferred),Soil Water Content,표준토양수분지수(SSI) 산정 및 다변량 가뭄지수(MSDI) 개발,open,Reanalysis 기반 자료로 기상학적 가뭄과 농업적 가뭄의 상관관계 분석에 활용,7
Automatic Weather Observational System (ASOS),종관기상관측,ASOS,meteorological,weather,Korea Meteorological Administration,public_portal,기상자료개방포털,"Sunchang, Imsil, Jangsu, Jeonju, Jeongeup",point_measurement,2014-2023,daily,5 stations,automatic_sensor,ASOS equipment,Not in source,"temperature, wind speed, rainfall, relative humidity, sunshine duration",Used for watershed baseline investigation and calibration of the HSPF watershed model.,open,Used for Thiessen Polygon analysis of the Okjeong Reservoir watershed.,28
AWC Water Project Database,AWC 워터프로젝트 추진 현황,AWC WP,DB_system,other,Asia Water Council (AWC),internal_DB,Asia Water Council (AWC),"Asia (Vietnam, Mongolia, Thailand, Cambodia, Indonesia, Nepal, Laos)",project_scale,2016 - 2020,event-based,Multiple projects,model simulation/field study,Not in source,Database,"Smart water management, IWRM, water disaster systems",Case analysis for building cooperation framework with AAWC.,internal_only,Managed by K-water as the AWC secretariat.,8
UNESCO Seal of Excellence Assessment Tool-kit,유네스코 도시 물관리 우수인증 평가툴,Seal Assessment Tool-kit,field_measurement,water_quality,K-water,internal_DB,Not in source,"Pilot cities (Seoul, Daegu)","point measurement (WTP, taps)",2022–2023 (Pilot phase),"Quarterly (quantitative), Annual (qualitative)",Max 100 sampling points per city,"automatic sensor, manual sampling",ISO certified laboratory analysis,"CSV, Report Form","pH, turbidity, residual chlorine, E. coli, THMs, heavy metals",Used to assess and certify urban water management safety and operational efficiency in pilot cities.,internal_only,Developed by K-water as technical advisor for the UNESCO project.,29
Arisu Water Quality Monitoring Data,아리수 수질 모니터링 데이터,Digital Arisu ON,field_measurement,water_quality,Seoul Metropolitan Government,other,Digital Arisu ON system,Seoul,Point measurement,Not in source,Daily/Real-time,Seoul-wide WTPs and network,automatic sensor,Digital Arisu ON dashboard,Digital dashboard,"Turbidity, residual chlorine, pH",Referenced during pilot project implementation in Seoul.,restricted,Internal monitoring system for Seoul's water supply.,29
Water Resources Management Information System,국가수자원관리종합정보시스템,WAMIS,hydrological,수자원,환경부,public_portal,http://www.wamis.go.kr,전국 하천 및 수계,유역/지자체 단위,Not in source,연중,국가 수자원 통계 전체,자동 센서 및 지자체 보고,"수위계, 유량계 등",데이터베이스/웹 대시보드,"강우강도, 홍수피해액, 침수면적, 용도별(생활, 농업, 공업) 이용량",물순환 건전성 지표 선정을 위한 수자원 데이터 검토에 활용,open,물순환 인프라 관련 핵심 데이터 소스,10
Agricultural Water Source Monitoring Data,벼재배 물관리 및 유기물 시용 현황 데이터,Not in source,field_measurement,농업 수문,"농림축산식품부, 통계청",literature_cited,농림어업총조사보고서,전국 농경지,시·도 단위,2019–2020,연간,전국 벼재배 면적 통계,현장 전수 조사 및 보고,설문 및 행정 기록,Excel/PDF,"벼재배면적, 물관리 형태(상시담수, 중간낙수), 유기물 시용량(녹비작물, 볏짚)",농업 부문 메탄(CH4) 배출량 산정을 위한 보정계수 적용에 사용,open,국가 통계 가공 데이터,10
Nakdong Estuary Bolboschoenus planiculmis Sprouting Study,낙동강하구 새섬매자기 종자 발아 연구 데이터,Nakdong-Sedge,field_measurement,생태,경남대학교 (K-water 용역),field_collection,Not in source,낙동강 하구 을숙도,Reach-scale (실험 포트),2023.03–2023.10,일주일 간격,포트별 생육 데이터,manual sampling,"전자저울, 측정 자, 진탕기, 배양기",Paper form/Excel,"출아율, 길이 성장, 밀도, 개화율, 결실 시기, 괴경 무게, 발아율(%)",새섬매자기의 대량 복원을 위한 종자 발아 특성 및 최적 발아 환경 구명,internal_only,K-water 부산권지사 용역 결과로 생성된 고유 데이터,30
Rural Water Resources Information System (RIMS),농업용수종합정보시스템 (RIMS),RIMS,DB_system,hydrological,Korea Rural Community Corporation (한국농어촌공사),public_portal,Not in source,national (agricultural reservoirs),reservoir unit,2011–2019,daily,"선암, 대화, 금평, 당월 저수지 등",automatic sensor,reservoir water level gauge,digital,"저수지 수위, 저수량, 유입량",농업용 저수지별 실제 공급량 분석 및 유입량 변동성 개선 방법 검증,open,선암 저수지의 수위-저수량 곡선 및 공급량 자료 활용,12
Field verification monitoring data of Judeok Weir,주덕보 현장 실증실험 모니터링 데이터,PiTTA,field_measurement,hydrological,Korea National University of Transportation,field_collection,Not in source,충청북도 충주시 주덕읍 제내리 557-23 (주덕보),Point measurement (Injection and Observation wells),2022.09.20 – 2023.04.20 (Study period),"event-based (flood season 4 times, dry season 3 times)","Injection well 1 unit, Observation wells 2 units",automatic sensor,"YSI-600OMS V2, YSI-6130 sensor, TD-Diver (water level gauge)",TimeSeries data,"Rhodamine WT concentration, water level, water temperature",추적자(로다민)를 활용하여 보 구조물 하부의 파이핑 현상 발생 여부를 직접 검증하고 침투 유속 및 레이놀즈 수 분석에 활용,internal_only,K-water 연구용역의 일환으로 수행된 현장 실증 실험 데이터임,31
